Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
24-04-2009,BAJAJ-AUTO,637.15,645,645,612.5,625,626.35,627.13,59351,3.72E+12
27-04-2009,BAJAJ-AUTO,626.35,622,641,613,613,615.1,624.48,186087,1.16E+13
28-04-2009,BAJAJ-AUTO,615.1,625,630,600,625,624.5,615.86,102580,6.32E+12
29-04-2009,BAJAJ-AUTO,624.5,620.1,651,619.9,636.15,641.65,641.59,142522,9.14E+12
04-05-2009,BAJAJ-AUTO,641.65,642,679.9,624.4,663.95,662.6,657.1,472170,3.10E+13
05-05-2009,BAJAJ-AUTO,662.6,664,695,664,675.15,682.8,684.61,329579,2.26E+13
06-05-2009,BAJAJ-AUTO,682.8,670,695,670,685,684.55,686.09,498046,3.42E+13
07-05-2009,BAJAJ-AUTO,684.55,684.7,706,672.1,685,676.65,693.51,74593,5.17E+12
08-05-2009,BAJAJ-AUTO,676.65,694.5,699.9,675.05,682,679.9,687.54,63239,4.35E+12
11-05-2009,BAJAJ-AUTO,679.9,685,694.5,660,684.9,681,674.97,43461,2.93E+12
12-05-2009,BAJAJ-AUTO,681,676,695,666.3,685.25,685.45,684.37,131495,9.00E+12
13-05-2009,BAJAJ-AUTO,685.45,684,739,684,738,737.55,721.13,268402,1.94E+13
14-05-2009,BAJAJ-AUTO,737.55,732,807,732,787,794.75,786.85,705366,5.55E+13
15-05-2009,BAJAJ-AUTO,794.75,801,809,785,790,792.95,792.98,195641,1.55E+13
18-05-2009,BAJAJ-AUTO,792.95,810,912,810,912,889.65,857.19,12393,1.06E+12
19-05-2009,BAJAJ-AUTO,889.65,898.5,974,855.1,900,903.3,920.21,367845,3.38E+13
20-05-2009,BAJAJ-AUTO,903.3,866.1,899,861,896,882.4,878.2,109601,9.63E+12
21-05-2009,BAJAJ-AUTO,882.4,870,944.5,870,930.25,926.3,916.4,425964,3.90E+13
22-05-2009,BAJAJ-AUTO,926.3,910,989.95,906.1,936.7,941,952.89,585193,5.58E+13
25-05-2009,BAJAJ-AUTO,941,930,960,930,939,948.5,950.38,89552,8.51E+12
26-05-2009,BAJAJ-AUTO,948.5,975,1000,890,924,926.35,914.93,206422,1.89E+13
27-05-2009,BAJAJ-AUTO,926.35,930,950,901.05,915,913.25,917.37,255778,2.35E+13
28-05-2009,BAJAJ-AUTO,913.25,916.6,974.95,900.15,966,950.95,934.8,349209,3.26E+13
29-05-2009,BAJAJ-AUTO,950.95,968.1,1060,960.75,1024.9,1034.25,1018.24,2007891,2.04E+14
01-06-2009,BAJAJ-AUTO,1034.25,1028.5,1111,980,1055,1061.75,1049.14,406615,4.27E+13
02-06-2009,BAJAJ-AUTO,1061.75,1064.8,1110,1040.1,1090,1083.3,1073.73,185935,2.00E+13
03-06-2009,BAJAJ-AUTO,1083.3,1099.95,1136.5,1077.15,1125.25,1117.85,1104.04,384915,4.25E+13
04-06-2009,BAJAJ-AUTO,1117.85,1117,1129.5,1077.1,1115,1100.75,1099.34,195948,2.15E+13
05-06-2009,BAJAJ-AUTO,1100.75,1150,1159,1102.7,1129.95,1133.4,1136.22,221811,2.52E+13
08-06-2009,BAJAJ-AUTO,1133.4,1124.85,1129.85,1048,1067.95,1079.05,1075.47,188041,2.02E+13
09-06-2009,BAJAJ-AUTO,1079.05,1070,1079.45,1022.1,1036.5,1043.55,1039.44,174422,1.81E+13
10-06-2009,BAJAJ-AUTO,1043.55,1089.95,1111,1031.05,1085,1066.4,1070.94,270291,2.89E+13
11-06-2009,BAJAJ-AUTO,1066.4,1067,1090,1019.9,1029.95,1045.4,1041.12,137879,1.44E+13
12-06-2009,BAJAJ-AUTO,1045.4,1040,1079.8,990.2,1002,1006.8,1019.03,57424,5.85E+12
